iteration,reward_mean,episode_len_mean,sample_time_s,learn_time_s,elapsed_time_s,iter_time_s
0,-3.3906575813864666,5.935185185185186,0.0,0.0,955.5544679164886,955.5341656208038
1,-2.947256022658136,6.037037037037037,0.0,0.0,1909.842351436615,954.2690286636353
2,-2.3022228341286675,6.351851851851852,0.0,0.0,2869.5465111732483,959.6882758140564
3,-2.310076511865253,6.333333333333333,0.0,0.0,3809.396832704544,939.8327095508575
4,-2.2151129249216717,6.314814814814814,0.0,0.0,4761.845057010651,952.4297640323639
5,-1.7197250911773987,6.512962962962963,0.0,0.0,5716.801000118256,954.9412980079651
6,-0.881557390878305,7.138888888888889,0.0,0.0,6660.298014163971,943.4822151660919
7,0.05497382313922484,7.533333333333333,0.0,0.0,7597.608960866928,937.2927508354187
8,1.415381473428373,7.981481481481483,0.0,0.0,8545.708318471909,948.0826919078827
9,0.7970773484479916,7.7370370370370365,0.0,0.0,9488.421988010406,942.6974854469299
10,1.6243550469424908,7.938888888888889,0.0,0.0,10439.7942340374,951.3311784267426
11,1.7614572737565455,8.198148148148148,0.0,0.0,11393.229375123978,953.4160928726196
12,1.836755364598015,8.146296296296295,0.0,0.0,12338.208746671677,944.9644243717194
13,2.740013704519042,8.594444444444443,0.0,0.0,13291.860898971558,953.6336343288422
14,2.5889603540470496,8.41851851851852,0.0,0.0,14237.693782567978,945.8188407421112
15,3.6791449734603368,8.85462962962963,0.0,0.0,15177.153269290924,939.4446213245392
16,4.220113616517317,9.343518518518518,0.0,0.0,16091.410507678986,914.2414944171906
17,4.03554981423707,9.246296296296297,0.0,0.0,17016.0542948246,924.6239807605743
18,3.4884268723794722,8.860185185185184,0.0,0.0,17947.942070245743,931.8702993392944
19,5.0565470448744545,9.919444444444444,0.0,0.0,18893.19843173027,945.2416157722473
20,5.377055701913822,9.627777777777778,0.0,0.0,19856.50374007225,963.27192902565
21,5.882946224779038,9.937962962962963,0.0,0.0,20815.933299303055,959.4136574268341
22,6.3453283832636345,10.300000000000002,0.0,0.0,21782.046636343002,966.0899164676666
23,6.316952599805862,10.212962962962962,0.0,0.0,22726.457758426666,944.3937935829163
24,7.237433128172425,10.588888888888887,0.0,0.0,23687.97448849678,961.4990756511688
25,8.882375470325357,11.683333333333334,0.0,0.0,24642.08360671997,954.0933120250702
26,8.824237118402499,11.966666666666665,0.0,0.0,25604.71455836296,962.614012002945
27,8.993908996504654,12.06388888888889,0.0,0.0,26568.366986989975,963.6368536949158
28,9.90697216164143,12.699074074074073,0.0,0.0,27486.697652816772,918.3152198791504
29,11.13483572358657,12.805555555555557,0.0,0.0,28417.32427072525,930.6101920604706
30,12.431316676722096,13.702777777777778,0.0,0.0,29350.354214906693,932.9994690418243
31,12.784873065661229,13.925,0.0,0.0,30261.3542137146,910.9836654663086
32,16.0410679990438,15.795370370370373,0.0,0.0,31179.273171901703,917.9034204483032
33,14.61261710566583,15.313888888888888,0.0,0.0,32103.49898290634,924.2068812847137
34,14.793365023373074,15.328703703703704,0.0,0.0,33014.72059464455,911.2071259021759
35,16.26933715046951,16.449074074074076,0.0,0.0,33940.33381533623,925.5961191654205
36,16.427797168000307,16.837962962962962,0.0,0.0,34875.30246305466,934.9527058601379
37,16.736139473283217,16.392592592592592,0.0,0.0,35792.607120513916,917.2910497188568
38,21.232150740111276,19.76111111111111,0.0,0.0,36712.7495701313,920.122700214386
39,20.198959063881933,18.700000000000003,0.0,0.0,37635.26810383797,922.5043678283691
40,17.10440481047678,16.97592592592592,0.0,0.0,38561.93583250046,926.6375617980957
41,22.23741679446745,19.791666666666668,0.0,0.0,39481.003469944,919.0520486831665
42,23.29899827812166,20.39351851851852,0.0,0.0,40397.61388206482,916.5915448665619
43,26.442044902377788,23.055555555555554,0.0,0.0,41322.04795575142,924.4030182361603
44,27.48465047161647,23.324074074074076,0.0,0.0,42245.53095126152,923.4663877487183
45,29.77555676810014,24.944444444444443,0.0,0.0,43165.0584833622,919.5088992118835
46,35.81614507735261,28.935185185185187,0.0,0.0,44080.36975169182,915.2926323413849
47,30.234126459603708,25.787037037037038,0.0,0.0,44998.143856287,917.7566261291504
48,36.94858744301397,28.953703703703702,0.0,0.0,45921.02950835228,922.8711678981781
49,29.35926799133891,23.842592592592595,0.0,0.0,46840.80912542343,919.7635147571564
50,36.77460308120292,29.21296296296296,0.0,0.0,47758.01439666748,917.1713073253632
51,37.15289385476358,29.96759259259259,0.0,0.0,48687.949045181274,929.9186208248138
52,39.55653246291003,30.819444444444443,0.0,0.0,49605.21281194687,917.2489123344421
53,38.386558177530155,31.08333333333334,0.0,0.0,50532.80367231369,927.5769469738007
54,44.99437475117023,34.80555555555556,0.0,0.0,51451.571068525314,918.7524344921112
55,38.800943950378425,29.86111111111111,0.0,0.0,52368.18271422386,916.5938565731049
56,36.881189564842735,29.101851851851848,0.0,0.0,53283.75846719742,915.5584852695465
57,41.705297035144866,31.61111111111111,0.0,0.0,54205.689811468124,921.9135463237762
58,42.081686333520665,31.32407407407407,0.0,0.0,55126.65483403206,920.9508717060089
59,46.685347687137835,34.56481481481482,0.0,0.0,56048.63426280022,921.9645855426788
60,41.956238479071146,33.32407407407407,0.0,0.0,56973.05814886093,924.3955707550049
61,42.57868398805102,31.44444444444444,0.0,0.0,57892.2938041687,919.2214949131012
62,43.68015567150408,32.907407407407405,0.0,0.0,58817.68064713478,925.371741771698
63,45.750153079031634,34.93518518518518,0.0,0.0,59737.23148274422,919.5339522361755
64,50.99538271559359,39.68518518518518,0.0,0.0,60661.079471349716,923.8311960697174
65,42.36032477630922,32.55555555555556,0.0,0.0,61582.3282930851,921.234099149704
66,52.87932982172546,39.31481481481481,0.0,0.0,62507.043754816055,924.6998167037964
67,46.99627802741578,35.861111111111114,0.0,0.0,63430.19357299805,923.1347348690033
68,50.97497262271016,39.19444444444444,0.0,0.0,64354.668202877045,924.4596519470215
69,55.67410603980741,40.52777777777778,0.0,0.0,65279.170004844666,924.4810664653778
